odf_name,odf_calories,odf_carbs,odf_sugar,odf_protein,odf_fat,odf_update_dt
국밥_돼지머리,137,15.94,0.16,6.7,5.16,2017-12-31
국밥_순대국밥,75,10.38,0.17,3.17,2.28,2017-12-31
국밥_콩나물,52,10.93,0,1.45,0.24,2018-12-31
기장밥,166,36.77,0,3.44,0.57,2017-12-31
김밥,140,19.98,0,4.84,4.55,2018-12-31
김밥_김치,130,19.17,0.29,4.3,4.03,2018-12-31
김밥_날치알,177,28.66,1.43,6.1,4.26,2017-12-31
김밥_돈가스,202,31.64,1.33,5.77,5.81,2017-12-31
김밥_소고기,179,25.78,0.03,6.46,5.56,2018-12-31
김밥_참치,174,20.26,0.71,7,7.22,2018-12-31
김밥_채소,158,26.65,0.14,4.6,3.65,2017-12-31
김밥_치즈,177,22.1,0.21,6.24,7.03,2018-12-31
김밥_풋고추,169,27.52,0.09,4.88,4.41,2017-12-31
덮밥_낙지,150,24.12,2.16,5.88,3.34,2017-12-31
덮밥_닭고기,125,14.82,1.07,11.4,2.18,2017-12-31
덮밥_돼지고기(제육),202,16.86,1.98,9.43,10.77,2018-12-31
덮밥_불고기,182,26.96,0.07,6.6,5.31,2018-12-31
덮밥_오징어,135,21.94,0.66,7.18,2.01,2018-12-31
보리밥,161,36.77,2.57,2.9,0.24,2017-12-31
볶음밥,183,33.97,0,5.56,2.76,2017-12-31
볶음밥_계란,225,24.23,0.17,6.62,11.28,2018-12-31
볶음밥_김치,167,15.74,13.89,5.32,9.18,2018-12-31
볶음밥_새우,172,22.85,0.71,6.31,6.14,2018-12-31
볶음밥_소고기,176,21.76,0.08,7.59,6.48,2017-12-31
볶음밥_참치,180,32.9,0.12,4.62,3.27,2017-12-31
볶음밥_채소,182,28.74,0.29,4.72,5.39,2017-12-31
볶음밥_표고버섯,184,31.79,0,3.36,4.81,2018-12-31
비빔밥,142,18.84,0.05,6.86,4.32,2018-12-31
비빔밥_돌솥,147,24.68,1.24,5.39,2.95,2017-12-31
비빔밥_육회,147,22.92,4.45,6.39,3.36,2017-12-31
삼각김밥_참치마요네즈,199,25.45,0,5.93,8.21,2018-12-31
수수밥,161,35.02,0.08,3.16,0.92,2017-12-31
알밥,128,15.75,2.3,4.73,5.11,2018-12-31
영양돌솥밥,184,36.06,0.63,3.43,2.87,2017-12-31
오므라이스,173,20.54,3.19,6.5,7.23,2018-12-31
자장밥,122,15.57,0.03,4.27,4.72,2018-12-31
잡곡밥,146,29.33,0.32,5.3,0.87,2017-12-31
잡채밥,150,25.79,0.05,4.02,3.42,2018-12-31
주먹밥_소고기,178,34.73,0.23,4.76,2.18,2019-12-31
짬뽕밥,72,11.65,1.34,3.2,1.4,2019-12-31
차조밥,157,34.86,0.04,2.84,0.65,2017-12-31
찰밥,153,33.56,0.49,4.39,0.18,2017-12-31
초밥_모듬,160,26.72,1.4,9.66,1.59,2018-12-31
초밥_유부초밥,194,29.82,1.99,5.78,5.77,2018-12-31
카레라이스,108,20.74,0.16,3.11,1.4,2018-12-31
콩나물밥,123,22.39,0.04,4.68,1.58,2017-12-31
콩밥_검정콩,165,34.3,0,4.53,1.12,2017-12-31
콩밥_완두콩,138,31.25,0,2.95,0.16,2017-12-31
하이라이스,112,21.34,0,4.02,1.13,2017-12-31
현미밥,172,38.9,0,3.1,0.47,2017-12-31
회덮밥_모듬,145,17.76,3.07,9.1,4.15,2018-12-31
가래떡,195,43.73,0,3.92,0.51,2018-12-31
경단_깨,240,38.58,0.61,6.28,6.72,2019-12-31
꿀떡,228,49.48,0.29,3.74,1.73,2018-12-31
모듬찰떡,218,42.27,2.98,6.78,2.44,2018-12-31
백설기,230,50.4,0.11,3.71,1.45,2018-12-31
송편_깨,219,42.83,1.98,4.65,3.23,2019-12-31
시루떡,224,48.13,0.04,3.77,1.85,2018-12-31
약식,220,45.24,13.24,4.21,2.45,2018-12-31
인절미,242,50.07,6.35,5.64,2.16,2018-12-31
절편_쑥,192,34.87,0.25,7.72,2.42,2018-12-31
증편,200,44.15,3.19,3.17,1.2,2018-12-31
찹쌀떡_팥,295,62.93,25.95,5.06,2.53,2018-12-31
도넛_링도넛,515,46.16,11.6,7.85,33.17,2017-12-31
도넛_찹쌀,288,55.56,11.04,6,4.64,2018-12-31
마늘빵,438,57.94,7.36,12.06,17.58,2018-12-31
머핀,384,59.15,39.65,5.73,13.84,2019-12-31
모닝빵,314,52.17,7.97,9.5,7.43,2018-12-31
모카빵,339,57.96,12.53,8.55,8.05,2019-12-31
베이글,306,53.48,4.58,10,5.83,2019-12-31
샌드위치_닭가슴살,240,20.96,3.09,12.18,11.92,2017-12-31
샌드위치_모듬,193,8.44,0.6,9.5,13.44,2018-12-31
샌드위치_참치,202,13.78,1.38,10.54,11.65,2019-12-31
샌드위치_채소,244,23.82,14.26,4.08,14.75,2017-12-31
샌드위치_햄_달걀,220,15.64,1.9,12.44,11.92,2017-12-31
소보로빵,392,55.63,16.69,8.27,15.13,2019-12-31
식빵,264,50.91,1.56,9.34,2.6,2019-12-31
초코소라빵,319,51.76,9.29,3.29,10.93,2018-12-31
츄러스,361,58.17,22.73,6.6,11.29,2017-12-31
카스텔라,335,47.99,33.77,10.03,11.47,2019-12-31
케이크_롤케이크,312,44.01,24.64,7.36,11.83,2019-12-31
케이크_생크림케이크,237,27.62,14.49,3.45,12.54,2019-12-31
크로와상,446,43.31,6.1,7.52,26.98,2019-12-31
파이/만주_사과파이,185,34.83,7.11,2.54,3.91,2019-12-31
페이스트리,466,41.5,6.43,8.31,29.66,2018-12-31
피자_콤비네이션피자,274,25.54,4.85,10.68,14.36,2019-12-31
피자빵,298,31.76,8.11,8.85,15.05,2017-12-31
햄버거,264,21.67,3.13,12.85,13.98,2019-12-31
햄버거_불고기버거,250,22.68,0.13,13.88,11.52,2019-12-31
호떡_견과류,314,57.12,0.73,5.41,7.07,2017-12-31
간자장,125,15.13,0.86,5.12,4.89,2018-12-31
국수_막국수,133,23.9,4.88,5.8,1.61,2018-12-31
국수_비빔국수,102,20.47,4.11,3.01,0.95,2018-12-31
국수_잔치국수,44,8.05,0.04,1.93,0.49,2018-12-31
국수_쟁반막국수,119,12.81,8.12,6.68,4.56,2017-12-31
냉면_물냉면,55,10.31,4.52,1.96,0.64,2018-12-31
